model	sample_id	word	step	letter	board_before	candidates_before	wrong_before	invalid	repeat	dominated_miss	hit	hit_prob	best_hit_prob	hit_prob_regret	optimal_letter	is_optimal
openai/gpt-5-nano	apple	apple	0	e	.....	4431	0	0	0	0	1	0.4715	0.4906	0.0192	s	0
openai/gpt-5-nano	apple	apple	1	a	....e	402	0	0	0	0	1	0.4279	0.4279	0.0000	a	1
openai/gpt-5-nano	apple	apple	2	t	a...e	30	0	0	0	0	0	0.0667	0.3667	0.3000	l	0
openai/gpt-5-nano	apple	apple	3	o	a...e	28	1	0	0	0	0	0.2857	0.3929	0.1071	l	0
openai/gpt-5-nano	apple	apple	4	i	a...e	20	2	0	0	0	0	0.5000	0.5000	0.0000	i	1
openai/gpt-5-nano	apple	apple	5	l	a...e	10	3	0	0	0	1	0.6000	0.6000	0.0000	l	1
openai/gpt-5-nano	apple	apple	6	n	a..le	6	3	0	0	0	0	0.3333	0.3333	0.0000	m	1
openai/gpt-5-nano	apple	apple	7	p	a..le	4	4	0	0	0	1	0.5000	0.5000	0.0000	m	1
openai/gpt-5-nano	awkward	awkward	0	e	.......	9571	0	0	0	0	0	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	awkward	awkward	1	t	.......	2977	1	0	0	0	0	0.3460	0.6439	0.2980	i	0
openai/gpt-5-nano	awkward	awkward	2	a	.......	1947	2	0	0	0	1	0.5357	0.6682	0.1325	i	0
openai/gpt-5-nano	awkward	awkward	3	n	a...a..	17	2	0	0	0	0	0.4118	0.5294	0.1176	s	0
openai/gpt-5-nano	awkward	awkward	4	o	a...a..	10	3	0	0	0	0	0.2000	0.6000	0.4000	r	0
openai/gpt-5-nano	awkward	awkward	5	i	a...a..	8	4	0	0	0	0	0.5000	0.7500	0.2500	r	0
openai/gpt-5-nano	awkward	awkward	6	u	a...a..	4	5	0	0	0	0	0.2500	0.7500	0.5000	r	0
openai/gpt-5-nano	awkward	awkward	7	l	a...a..	3	6	0	0	1	0	0.0000	1.0000	1.0000	r	0
openai/gpt-5-nano	awkward	awkward	8	r	a...a..	3	7	0	0	0	1	1.0000	1.0000	0.0000	r	1
openai/gpt-5-nano	awkward	awkward	9	s	a...ar.	1	7	0	0	1	0	0.0000	1.0000	1.0000	d	0
openai/gpt-5-nano	awkward	awkward	10	d	a...ar.	1	8	0	0	0	1	1.0000	1.0000	0.0000	d	1
openai/gpt-5-nano	awkward	awkward	11	w	a...ard	1	8	0	0	0	1	1.0000	1.0000	0.0000	k	1
openai/gpt-5-nano	awkward	awkward	12	k	aw.ward	1	8	0	0	0	1	1.0000	1.0000	0.0000	k	1
openai/gpt-5-nano	bagpipes	bagpipes	0	e	........	10078	0	0	0	0	1	0.6958	0.6958	0.0000	e	1
openai/gpt-5-nano	bagpipes	bagpipes	1	a	......e.	1620	0	0	0	0	1	0.4401	0.6377	0.1975	s	0
openai/gpt-5-nano	bagpipes	bagpipes	2	t	.a....e.	175	0	0	0	0	0	0.3543	0.5886	0.2343	s	0
openai/gpt-5-nano	bagpipes	bagpipes	3	o	.a....e.	113	1	0	0	0	0	0.4248	0.6283	0.2035	s	0
openai/gpt-5-nano	bagpipes	bagpipes	4	n	.a....e.	65	2	0	0	0	0	0.3846	0.7692	0.3846	s	0
openai/gpt-5-nano	bagpipes	bagpipes	5	s	.a....e.	40	3	0	0	0	1	0.8500	0.8500	0.0000	s	1
openai/gpt-5-nano	bagpipes	bagpipes	6	r	.a....es	11	3	0	0	0	0	0.5455	1.0000	0.4545	i	0
openai/gpt-5-nano	bagpipes	bagpipes	7	l	.a....es	5	4	0	0	0	0	0.6000	1.0000	0.4000	i	0
openai/gpt-5-nano	bagpipes	bagpipes	8	i	.a....es	2	5	0	0	0	1	1.0000	1.0000	0.0000	i	1
openai/gpt-5-nano	bagpipes	bagpipes	9	c	.a..i.es	1	5	0	0	1	0	0.0000	1.0000	1.0000	b	0
openai/gpt-5-nano	bagpipes	bagpipes	10	d	.a..i.es	1	6	0	0	1	0	0.0000	1.0000	1.0000	b	0
openai/gpt-5-nano	bagpipes	bagpipes	11	u	.a..i.es	1	7	0	0	1	0	0.0000	1.0000	1.0000	b	0
openai/gpt-5-nano	bagpipes	bagpipes	12	m	.a..i.es	1	8	0	0	1	0	0.0000	1.0000	1.0000	b	0
openai/gpt-5-nano	bagpipes	bagpipes	13	h	.a..i.es	1	9	0	0	1	0	0.0000	1.0000	1.0000	b	0
openai/gpt-5-nano	banana	banana	0	e	......	7028	0	0	0	0	0	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	banana	banana	1	a	......	2476	1	0	0	0	1	0.4859	0.5230	0.0372	s	0
openai/gpt-5-nano	banana	banana	2	n	.a.a.a	4	1	0	0	0	1	0.5000	0.5000	0.0000	b	1
openai/gpt-5-nano	banana	banana	3	b	.anana	1	1	0	0	0	1	1.0000	1.0000	0.0000	b	1
openai/gpt-5-nano	bicycle	bicycle	0	e	.......	9571	0	0	0	0	1	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	bicycle	bicycle	1	a	......e	535	0	0	0	0	0	0.5346	0.5346	0.0000	a	1
openai/gpt-5-nano	bicycle	bicycle	2	o	......e	249	1	0	0	0	0	0.5341	0.5904	0.0562	i	0
openai/gpt-5-nano	bicycle	bicycle	3	i	......e	116	2	0	0	0	1	0.7586	0.7586	0.0000	i	1
openai/gpt-5-nano	bicycle	bicycle	4	b	.i....e	12	2	0	0	0	1	0.0833	0.8333	0.7500	u	0
openai/gpt-5-nano	bicycle	bicycle	5	c	bi....e	1	2	0	0	0	1	1.0000	1.0000	0.0000	c	1
openai/gpt-5-nano	bicycle	bicycle	6	y	bic.c.e	1	2	0	0	0	1	1.0000	1.0000	0.0000	l	1
openai/gpt-5-nano	bicycle	bicycle	7	l	bicyc.e	1	2	0	0	0	1	1.0000	1.0000	0.0000	l	1
openai/gpt-5-nano	bridge	bridge	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	bridge	bridge	1	a	.....e	528	0	0	0	0	0	0.4091	0.4830	0.0739	l	0
openai/gpt-5-nano	bridge	bridge	2	t	.....e	312	1	0	0	0	0	0.2596	0.5417	0.2821	i	0
openai/gpt-5-nano	bridge	bridge	3	o	.....e	231	2	0	0	0	0	0.3983	0.5368	0.1385	i	0
openai/gpt-5-nano	bridge	bridge	4	i	.....e	139	3	0	0	0	1	0.6619	0.6619	0.0000	i	1
openai/gpt-5-nano	bridge	bridge	5	d	..i..e	13	3	0	0	0	1	0.2308	0.6154	0.3846	r	0
openai/gpt-5-nano	bridge	bridge	6	r	..id.e	3	3	0	0	0	1	1.0000	1.0000	0.0000	r	1
openai/gpt-5-nano	bridge	bridge	7	b	.rid.e	3	3	0	0	0	1	0.6667	0.6667	0.0000	b	1
openai/gpt-5-nano	bridge	bridge	8	g	brid.e	2	3	0	0	0	1	0.5000	0.5000	0.0000	g	1
openai/gpt-5-nano	butter	butter	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	butter	butter	1	t	....e.	2005	0	0	0	0	1	0.2449	0.4963	0.2514	d	0
openai/gpt-5-nano	butter	butter	2	a	..tte.	47	0	0	0	0	0	0.3404	0.4894	0.1489	r	0
openai/gpt-5-nano	butter	butter	3	u	..tte.	31	1	0	0	0	1	0.3871	0.5161	0.1290	r	0
openai/gpt-5-nano	butter	butter	4	r	.utte.	12	1	0	0	0	1	0.5000	0.5000	0.0000	d	1
openai/gpt-5-nano	butter	butter	5	b	.utter	5	1	0	0	0	1	0.2000	0.2000	0.0000	b	1
openai/gpt-5-nano	butterfly	butterfly	0	e	.........	8995	0	0	0	0	1	0.7360	0.7360	0.0000	e	1
openai/gpt-5-nano	butterfly	butterfly	1	a	....e....	367	0	0	0	0	0	0.4850	0.7112	0.2262	i	0
openai/gpt-5-nano	butterfly	butterfly	2	t	....e....	189	1	0	0	0	1	0.5238	0.7884	0.2646	i	0
openai/gpt-5-nano	butterfly	butterfly	3	i	..tte....	11	1	0	0	0	0	0.8182	0.9091	0.0909	r	0
openai/gpt-5-nano	butterfly	butterfly	4	u	..tte....	2	2	0	0	0	1	1.0000	1.0000	0.0000	b	1
openai/gpt-5-nano	butterfly	butterfly	5	r	.utte....	1	2	0	0	0	1	1.0000	1.0000	0.0000	b	1
openai/gpt-5-nano	butterfly	butterfly	6	l	.utter...	1	2	0	0	0	1	1.0000	1.0000	0.0000	b	1
openai/gpt-5-nano	butterfly	butterfly	7	b	.utter.l.	1	2	0	0	0	1	1.0000	1.0000	0.0000	b	1
openai/gpt-5-nano	butterfly	butterfly	8	f	butter.l.	1	2	0	0	0	1	1.0000	1.0000	0.0000	f	1
openai/gpt-5-nano	butterfly	butterfly	9	y	butterfl.	1	2	0	0	0	1	1.0000	1.0000	0.0000	y	1
openai/gpt-5-nano	buzzard	buzzard	0	e	.......	9571	0	0	0	0	0	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	buzzard	buzzard	1	a	.......	2977	1	0	0	0	1	0.5371	0.6439	0.1068	i	0
openai/gpt-5-nano	buzzard	buzzard	2	t	....a..	195	1	0	0	0	0	0.3692	0.6410	0.2718	s	0
openai/gpt-5-nano	buzzard	buzzard	3	i	....a..	123	2	0	0	0	0	0.4390	0.6829	0.2439	s	0
openai/gpt-5-nano	buzzard	buzzard	4	o	....a..	69	3	0	0	0	0	0.5362	0.7101	0.1739	s	0
openai/gpt-5-nano	buzzard	buzzard	5	u	....a..	32	4	0	0	0	1	0.7500	0.7812	0.0312	s	0
openai/gpt-5-nano	buzzard	buzzard	6	s	.u..a..	17	4	0	0	0	0	0.7647	0.7647	0.0000	s	1
openai/gpt-5-nano	buzzard	buzzard	7	r	.u..a..	4	5	0	0	0	1	0.7500	0.7500	0.0000	b	1
openai/gpt-5-nano	buzzard	buzzard	8	b	.u..ar.	3	5	0	0	0	1	0.6667	0.6667	0.0000	b	1
openai/gpt-5-nano	buzzard	buzzard	9	l	bu..ar.	2	5	0	0	0	0	0.5000	0.5000	0.0000	d	1
openai/gpt-5-nano	buzzard	buzzard	10	k	bu..ar.	1	6	0	0	1	0	0.0000	1.0000	1.0000	d	0
openai/gpt-5-nano	buzzard	buzzard	11	n	bu..ar.	1	7	0	0	1	0	0.0000	1.0000	1.0000	d	0
openai/gpt-5-nano	buzzard	buzzard	12	d	bu..ar.	1	8	0	0	0	1	1.0000	1.0000	0.0000	d	1
openai/gpt-5-nano	buzzard	buzzard	13	z	bu..ard	1	8	0	0	0	1	1.0000	1.0000	0.0000	z	1
openai/gpt-5-nano	camera	camera	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	camera	camera	1	t	...e..	445	0	0	0	0	0	0.4067	0.7213	0.3146	s	0
openai/gpt-5-nano	camera	camera	2	s	...e..	264	1	0	0	0	0	0.7348	0.7348	0.0000	s	1
openai/gpt-5-nano	camera	camera	3	r	...e..	70	2	0	0	0	1	0.4000	0.5429	0.1429	l	0
openai/gpt-5-nano	camera	camera	4	a	...er.	12	2	0	0	0	1	0.4167	0.4167	0.0000	a	1
openai/gpt-5-nano	camera	camera	5	c	.a.era	1	2	0	0	0	1	1.0000	1.0000	0.0000	c	1
openai/gpt-5-nano	camera	camera	6	m	ca.era	1	2	0	0	0	1	1.0000	1.0000	0.0000	m	1
openai/gpt-5-nano	castle	castle	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	castle	castle	1	a	.....e	528	0	0	0	0	1	0.4091	0.4830	0.0739	l	0
openai/gpt-5-nano	castle	castle	2	n	.a...e	72	0	0	0	0	0	0.3056	0.7639	0.4583	l	0
openai/gpt-5-nano	castle	castle	3	l	.a...e	50	1	0	0	0	1	0.8600	0.8600	0.0000	l	1
openai/gpt-5-nano	castle	castle	4	m	.a..le	37	1	0	0	0	0	0.1081	0.3243	0.2162	b	0
openai/gpt-5-nano	castle	castle	5	t	.a..le	33	2	0	0	0	1	0.2121	0.2727	0.0606	b	0
openai/gpt-5-nano	castle	castle	6	c	.a.tle	1	2	0	0	0	1	1.0000	1.0000	0.0000	c	1
openai/gpt-5-nano	castle	castle	7	s	ca.tle	1	2	0	0	0	1	1.0000	1.0000	0.0000	s	1
openai/gpt-5-nano	coffee	coffee	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	coffee	coffee	1	o	....ee	7	0	0	0	0	1	0.8571	0.8571	0.0000	o	1
openai/gpt-5-nano	coffee	coffee	2	f	.o..ee	4	0	0	0	0	1	0.5000	0.7500	0.2500	t	0
openai/gpt-5-nano	coffee	coffee	3	c	.offee	2	0	0	0	0	1	0.5000	0.5000	0.0000	c	1
openai/gpt-5-nano	compass	compass	0	e	.......	9571	0	0	0	0	0	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	compass	compass	1	a	.......	2977	1	0	0	0	1	0.5371	0.6439	0.1068	i	0
openai/gpt-5-nano	compass	compass	2	t	....a..	195	1	0	0	0	0	0.3692	0.6410	0.2718	s	0
openai/gpt-5-nano	compass	compass	3	s	....a..	123	2	0	0	0	1	0.6829	0.6829	0.0000	s	1
openai/gpt-5-nano	compass	compass	4	c	....ass	1	2	0	0	0	1	1.0000	1.0000	0.0000	c	1
openai/gpt-5-nano	compass	compass	5	o	c...ass	1	2	0	0	0	1	1.0000	1.0000	0.0000	m	1
openai/gpt-5-nano	compass	compass	6	m	co..ass	1	2	0	0	0	1	1.0000	1.0000	0.0000	m	1
openai/gpt-5-nano	compass	compass	7	p	com.ass	1	2	0	0	0	1	1.0000	1.0000	0.0000	p	1
openai/gpt-5-nano	cookie	cookie	0	e	......	7028	0	0	0	0	1	0.6477	0.6477	0.0000	e	1
openai/gpt-5-nano	cookie	cookie	1	a	.....e	528	0	0	0	0	0	0.4091	0.4830	0.0739	l	0
openai/gpt-5-nano	cookie	cookie	2	o	.....e	312	1	0	0	0	1	0.4006	0.5417	0.1410	i	0
openai/gpt-5-nano	cookie	cookie	3	t	.oo..e	14	1	0	0	0	0	0.1429	0.5714	0.4286	i	0
openai/gpt-5-nano	cookie	cookie	4	d	.oo..e	12	2	0	0	0	0	0.4167	0.5833	0.1667	i	0
openai/gpt-5-nano	cookie	cookie	5	g	.oo..e	7	3	0	0	0	0	0.2857	0.8571	0.5714	i	0
openai/gpt-5-nano	cookie	cookie	6	c	.oo..e	5	4	0	0	0	1	0.4000	1.0000	0.6000	i	0
openai/gpt-5-nano	cookie	cookie	7	k	coo..e	2	4	0	0	0	1	0.5000	1.0000	0.5000	i	0
openai/gpt-5-nano	cookie	cookie	8	i	cook.e	1	4	0	0	0	1	1.0000	1.0000	0.0000	i	1
openai/gpt-5-nano	croquet	croquet	0	e	.......	9571	0	0	0	0	1	0.6890	0.6890	0.0000	e	1
openai/gpt-5-nano	croquet	croquet	1	a	.....e.	2375	0	0	0	0	0	0.3853	0.5251	0.1398	s	0
openai/gpt-5-nano	croquet	croquet	2	i	.....e.	1460	1	0	0	0	0	0.5363	0.5363	0.0000	i	1
openai/gpt-5-nano	croquet	croquet	3	o	.....e.	677	2	0	0	0	1	0.6027	0.6027	0.0000	o	1
openai/gpt-5-nano	croquet	croquet	4	p	..o..e.	154	2	0	0	0	0	0.3052	0.6104	0.3052	d	0
openai/gpt-5-nano	croquet	croquet	5	r	..o..e.	107	3	0	0	0	1	0.5981	0.6075	0.0093	d	0
openai/gpt-5-nano	croquet	croquet	6	t	.ro..e.	35	3	0	0	0	1	0.3429	0.6286	0.2857	d	0
openai/gpt-5-nano	croquet	croquet	7	c	.ro..et	3	3	0	0	0	1	0.6667	0.6667	0.0000	c	1
openai/gpt-5-nano	croquet	croquet	8	u	cro..et	1	3	0	0	0	1	1.0000	1.0000	0.0000	q	1
openai/gpt-5-nano	croquet	croquet	9	q	cro.uet	1	3	0	0	0	1	1.0000	1.0000	0.0000	q	1
openai/gpt-5-nano	crypt	crypt	0	e	.....	4431	0	0	0	0	0	0.4715	0.4906	0.0192	s	0
openai/gpt-5-nano	crypt	crypt	1	a	.....	2342	1	0	0	0	0	0.4214	0.5401	0.1187	s	0
